Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C4, C6",0402,5,1u,
"C10, C11",0402,2,22p,
"C13, C14, C15, C16, C5, C7, C8, C9",0402,8,100n,
C3,0603,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",D_SOD-123,40,D_Small,
F1,1206,1,Fuse_Small,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX5, MX6, MX7, MX8, MX9",SW_MX_HS_1u,40,MX_SW_HS,
"R1, R2, R3, R8, R9",0402,5,5.1k,
"R4, R5",0402,2,27,
"R6, R7",0402,2,1k,
"SW_BOOT1, SW_RESET1",SW_SPST_TL3342,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-3,1,XC6206PxxxMR,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
